name: 11号线
len: 8
type: mtr

00110014: 花桥
00110015: 光明路
00110016: 兆丰路
00110017: 安亭
00110018: 上海汽车城
00110019: 昌吉东路
00110020: 上海赛车场
00110031: 嘉定北
00110032: 嘉定西
00110033: 白银路
00110034: 嘉定新城
00110035: 马陆
00110036: 陈翔公路
00110037: 南翔
00110038: 桃浦新村
00110039: 武威路
00110040: 祁连山路
00110041: 李子园
00110042: 上海西站
00110043: 真如
00110044: 枫桥路
00110045: 曹杨路
00110046: 隆德路
00110047: 江苏路
00110048: 交通大学
00110049: 徐家汇
00110050: 上海游泳馆
00110051: 龙华
00110052: 云锦路
00110053: 龙耀路
00110054: 东方体育中心
00110055: 三林
00110056: 三林东
00110057: 浦三路
00110058: 康恒路
00110059: 御桥
00110060: 罗山路
00110061: 秀沿路
00110062: 康新公路
00110063: 迪士尼
