name: 9号线
len: 8
type: mtr

00090018: 上海松江站
00090019: 醉白池
00090020: 松江体育中心
00090021: 松江新城
00090022: 松江大学城
00090023: 洞泾
00090024: 佘山
00090025: 泗泾
00090026: 九亭
00090027: 中春路
00090028: 七宝
00090029: 星中路
00090030: 合川路
00090031: 漕河泾开发区
00090032: 桂林路
00090033: 宜山路
00090034: 徐家汇
00090035: 肇嘉浜路
00090036: 嘉善路
00090037: 打浦桥
00090038: 马当路
00090039: 陆家浜路
00090040: 小南门
00090041: 商城路
00090042: 世纪大道
00090043: 杨高中路
00090044: 芳甸路
00090045: 蓝天路
00090046: 台儿庄路
00090047: 金桥
00090048: 金吉路
00090049: 金海路
00090050: 顾唐路
00090051: 民雷路
00090052: 曹路
