name: 5号线
len: 8
type: mtr

00050015: 西安东站
00050017: 雁鸣湖
00050019: 月登阁
0005001B: 马腾空
0005001D: 黄渠头
0005001F: 理工大曲江校区
00050021: 青龙寺
00050023: 雁翔路北口
00050025: 太乙路
00050027: 建筑科技大学·李家村
00050029: 文艺路
0005002B: 南稍门
0005002D: 省人民医院·黄雁村
0005002F: 边家村
00050031: 西北工业大学
00050033: 丰庆公园
00050035: 金光门
00050037: 汉城南路
00050039: 西窑头
0005003B: 石桥立交
0005003D: 阿房宫南
0005003F: 王寺
00050041: 斗门
00050043: 复兴大道南
00050045: 镐京
00050047: 欢乐谷
00050049: 文教园
0005004B: 高桥
0005004D: 东马坊
0005004F: 沣西文化公园
00050051: 钓台
00050053: 翱翔小镇
00050055: 创新港东
00050057: 创新港
