name: 快速公交2线
len: 8
type: brt

B3B20001: 杨闸/杨闸环岛西
B3B20002: 杨闸环岛西/管庄
B3B20003: 管庄/周家井
B3B20004: 周家井/朝阳路三间房
B3B20005: 朝阳路三间房/第二外国语学院
B3B20006: 第二外国语学院/定福庄
B3B20007: 定福庄/大黄庄桥西
B3B20008: 大黄庄桥西/民航医院
B3B20009: 民航医院/太平庄
B3B2000A: 太平庄/青年路南口
B3B2000B: 青年路南口/十里堡
B3B2000C: 十里堡
B3B2000D: 东八里庄
B3B2000E: 慈云寺/英家坟
B3B2000F: 英家坟/红庙路口西
B3B20010: 红庙路口西/小庄路口东
B3B20011: 小庄路口西/呼家楼东
B3B20012: 呼家楼西/东大桥东/东大桥
B3B20013: 朝阳门/东大桥
B3B20014: 朝阳门
