name: 10号线
len: 6
type: mtr

0A0001: 巴沟
0A0003: 苏州街
0A0005: 海淀黄庄
0A0007: 知春里
0A0009: 知春路
0A000B: 西土城
0A000D: 牡丹园
0A000F: 健德门
0A0011: 北土城
0A0013: 安贞门
0A0015: 惠新西街南口
0A0017: 芍药居
0A0019: 太阳宫
0A001B: 三元桥
0A001D: 亮马桥
0A001F: 农业展览馆
0A0021: 团结湖
0A0023: 呼家楼
0A0025: 金台夕照
0A0027: 国贸
0A0029: 双井
0A002B: 劲松
5A0017: 潘家园
5A0019: 十里河
5A001B: 分钟寺
5A001D: 成寿寺
5A001F: 宋家庄
5A0021: 石榴庄
5A0023: 大红门
5A0025: 角门东
5A0027: 角门西
5A0029: 草桥
5A002B: 纪家庙
5A002D: 首经贸
5A002F: 丰台站
5A0031: 泥洼
5A0033: 西局
5A0035: 六里桥
5A0037: 莲花桥
5A0039: 公主坟
5A003B: 西钓鱼台
5A003D: 慈寿寺
5A003F: 车道沟
5A0041: 长春桥
5A0043: 火器营
