# 沈阳市-2210
name: 9号线
len: 8
type: mtr

00090399: 怒江公园
0009039B: 淮河街沈医二院
0009039D: 皇姑屯站
0009039F: 重型文化广场
000903A1: 北二路
000903A3: 铁西广场
000903A5: 兴华公园
000903A7: 沈辽路
000903A9: 滑翔
000903AB: 吉力湖街
000903AD: 大通湖街
000903AF: 曹仲
000903B1: 浑河站
000903B3: 胜利南街
000903B5: 长白南
000903B7: 榆树台
000903B9: 金阳大街
000903BB: 彩霞街
000903BD: 奥体中心
000903BF: 天成街
000903C1: 朗日街
000903C3: 长青南街
000903C5: 建筑大学
