# 长沙市-5510
name: 3号线
len: 6 8
type: mtr

030001: 山塘
030002: 洋湖湿地
030003: 洋湖新城
030004: 阳光
030005: 中南大学
030006: 阜埠河
030007: 灵官渡
030008: 侯家塘
030009: 东塘
030010: 桂花公园
030011: 阿弥岭
030012: 朝阳村
030013: 长沙火车站
030014: 烈士公园东
030015: 丝茅冲
030016: 四方坪
030017: 雅雀湖
030018: 长沙大学
030019: 月湖公园北
030020: 湘龙
030021: 星沙
030022: 松雅湖（南）
030023: 星沙文体中心
030024: 螺丝塘
030025: 广生
03000301: 山塘
03000302: 洋湖湿地
03000303: 洋湖新城
03000304: 阳光
03000305: 中南大学
03000306: 阜埠河
03000307: 灵官渡
03000308: 侯家塘
03000309: 东塘
0300030A: 桂花公园
0300030B: 阿弥岭
0300030C: 朝阳村
0300030D: 长沙火车站
0300030E: 烈士公园东
0300030F: 丝茅冲
03000310: 四方坪
03000311: 雅雀湖
03000312: 长沙大学
03000313: 月湖公园北
03000314: 湘龙
03000315: 星沙
03000316: 松雅湖（南）
03000317: 星沙文体中心
03000318: 螺丝塘
03000319: 广生
1F001F01: 山塘
1F001F02: 大王山
1F001F03: 桐溪
1F001F04: 红桥
1F001F05: 坪塘
1F001F06: 双湖
1F001F07: 黄家湾
1F001F08: 船形山
1F001F09: 湘潭北站
