# 上海市-2900
name: 8号线
len: 8
type: mtr

00080015: 汇臻路
00080016: 东城一路
00080017: 浦航路
00080018: 闵瑞路
00080019: 三鲁公路
00080020: 沈杜公路
00080021: 联航路
00080022: 江月路
00080023: 浦江镇
00080024: 芦恒路
00080025: 凌兆新村
00080026: 东方体育中心
00080027: 杨思
00080028: 成山路
00080029: 耀华路
00080030: 中华艺术宫
00080031: 西藏南路
00080032: 陆家浜路
00080033: 老西门
00080034: 大世界
00080035: 人民广场
00080036: 曲阜路
00080037: 中兴路
00080038: 西藏北路
00080039: 虹口足球场
00080040: 曲阳路
00080041: 四平路
00080042: 鞍山新村
00080043: 江浦路
00080044: 黄兴路
00080045: 延吉中路
00080046: 黄兴公园
00080047: 翔殷路
00080048: 嫩江路
00080049: 市光路
