# 广州市-5810
name: 4号线
len: 8
type: mtr

00040005: 黄村
00040006: 车陂
00040007: 车陂南
00040008: 万胜围
00040009: 官洲
00040010: 大学城北
00040011: 大学城南
00040012: 新造
00040013: 石碁
00040014: 海傍
00040015: 低涌
00040016: 东涌
00040027: 庆盛
00040017: 黄阁汽车城
00040018: 黄阁
00040019: 蕉门
00040020: 金洲
00040021: 飞沙角
00040022: 广隆
00040023: 大涌
00040024: 塘坑
00040025: 南横
00040026: 南沙客运港
