# 兰州市-8210
name: 1号线
len: 8
type: mtr

00010020: 陈官营
00010021: 深安大桥南
00010022: 兰州城市学院
00010023: 兰州海关
00010024: 马滩
00010025: 土门墩
00010026: 兰州西站北广场
00010027: 西站什字
00010028: 七里河
00010029: 小西湖
00010030: 文化宫
00010031: 西关
00010032: 省政府
00010033: 东方红广场
00010034: 兰州大学
00010035: 五里铺
00010036: 省气象局
00010037: 拱星墩
00010038: 焦家湾
00010039: 东岗
