# 北京市-1000
name: 快速公交3线
len: 8
type: brt

B3B30001: 安定门
B3B30002: 蒋宅口
B3B30003: 安贞桥北
B3B30004: 五路居
B3B30005: 炎黄艺术馆
B3B30006: 慧忠北里
B3B30007: 华汇商厦
B3B30008: 仰山桥南
B3B30009: 仰山桥北
B3B3000A: 天乐园小区
B3B3000B: 立水桥南站
B3B3000C: 立水桥北站
B3B3000D: 地铁立水桥站
B3B3000E: 天通西苑南
B3B3000F: 天通西苑北
B3B30010: 天通苑太平庄
B3B30011: 东三旗南站
B3B30012: 地铁天通苑北站
B3B30013: 东三旗
B3B30014: 平西王府路口南
B3B30015: 王府温馨公寓
B3B30016: 平西王府西
B3B30017: 温都水城
B3B30018: 宏福苑小区南
B3B30019: 宏福苑小区西
